127.0.0.1 - - [23/May/2018:17:55:28 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/May/2018:17:55:30 -0500] "GET /proyecto-chat/registro.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [23/May/2018:18:02:35 -0500] "GET /proyecto-chat/registro.jsp HTTP/1.1" 200 7576
0:0:0:0:0:0:0:1 - - [23/May/2018:18:02:35 -0500] "GET /proyecto-chat/css/mdb.min.css HTTP/1.1" 200 200505
0:0:0:0:0:0:0:1 - - [23/May/2018:18:02:35 -0500] "GET /proyecto-chat/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [23/May/2018:18:02:35 -0500] "GET /proyecto-chat/js/mdb.min.js HTTP/1.1" 200 198695
0:0:0:0:0:0:0:1 - - [23/May/2018:18:02:35 -0500] "GET /proyecto-chat/js/bootstrap.min.js HTTP/1.1" 200 48944
0:0:0:0:0:0:0:1 - - [23/May/2018:18:02:35 -0500] "GET /proyecto-chat/js/popper.min.js HTTP/1.1" 200 19197
0:0:0:0:0:0:0:1 - - [23/May/2018:18:02:35 -0500] "GET /proyecto-chat/js/validation.js HTTP/1.1" 200 2169
0:0:0:0:0:0:0:1 - - [23/May/2018:18:02:35 -0500] "GET /proyecto-chat/css/style.css HTTP/1.1" 200 1954
0:0:0:0:0:0:0:1 - - [23/May/2018:18:02:35 -0500] "GET /proyecto-chat/js/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [23/May/2018:18:02:35 -0500] "GET /proyecto-chat/js/fontawesome-all.js HTTP/1.1" 200 840539
0:0:0:0:0:0:0:1 - - [23/May/2018:18:02:35 -0500] "GET /proyecto-chat/js/jquery.validate.js HTTP/1.1" 200 48676
0:0:0:0:0:0:0:1 - - [23/May/2018:18:02:35 -0500] "GET /proyecto-chat/img/what-the-hex.png HTTP/1.1" 200 71221
0:0:0:0:0:0:0:1 - - [23/May/2018:18:02:45 -0500] "GET /proyecto-chat/registro.jsp HTTP/1.1" 200 7576
0:0:0:0:0:0:0:1 - - [23/May/2018:18:02:47 -0500] "GET /proyecto-chat/css/bootstrap.min.css HTTP/1.1" 200 144877
0:0:0:0:0:0:0:1 - - [23/May/2018:18:02:47 -0500] "GET /proyecto-chat/css/mdb.min.css HTTP/1.1" 200 200505
0:0:0:0:0:0:0:1 - - [23/May/2018:18:02:47 -0500] "GET /proyecto-chat/js/fontawesome-all.js HTTP/1.1" 200 840539
0:0:0:0:0:0:0:1 - - [23/May/2018:18:02:47 -0500] "GET /proyecto-chat/js/jquery-3.2.1.min.js HTTP/1.1" 200 86659
0:0:0:0:0:0:0:1 - - [23/May/2018:18:02:47 -0500] "GET /proyecto-chat/css/style.css HTTP/1.1" 200 1954
0:0:0:0:0:0:0:1 - - [23/May/2018:18:02:47 -0500] "GET /proyecto-chat/js/jquery.validate.js HTTP/1.1" 200 48676
